"Cluster 1","Cluster 2","Ind","Site"
0.276788,0.723212,"88_Pang","PG"
0.9999,1e-04,"ARBMGH_2002_001","GH"
0.00270264,0.997297,"BMDB_06_70","DIS"
0.0910469,0.908953,"BMWG07_22","DIS"
0.9999,1e-04,"BMWG07_30","DIS"
0.152497,0.847503,"BM_01_2009","WB"
0.148698,0.851302,"BM_CH_2000_01","CH"
0.958427,0.0415729,"BM_NSA_2008_02","HB"
0.492244,0.507756,"BM_NSA_2009_02","RI"
0.9999,1e-04,"BM_NSA_2009_03","CD"
0.488681,0.511319,"BM_NSA_2010_01","PI"
0.413279,0.586721,"BM_NSA_2011_01","IQ"
0.25895,0.74105,"BM_NSA_2011_03","PB"
0.679336,0.320664,"BM_NSA_2012_02","SB"
0.421923,0.578077,"BM_NSA_2012_03","AB"
0.175236,0.824764,"BM_NSA_2014_01","CR"
1e-04,0.9999,"BM_NSA_2020_01","HB"
1e-04,0.9999,"BM_RB_2005_001","RB"
0.999407,0.0005926,"NSA_BM_98_01","PG"
0.161061,0.838939,"WBF_2005_0298","NF"
